(1554347539982,429)
(1554347545032,5149)
(1554347549984,4134)
(1554347555044,4632)
(1554347559999,4055)
(1554347565064,4324)
(1554347570019,4111)
(1554347575064,4336)
(1554347580017,4953)
(1554347585058,4732)
(1554347589990,5051)
(1554347595045,4649)
(1554347599997,5029)
(1554347605046,4572)
(1554347610003,4668)
(1554347615063,4782)
(1554347620010,4393)
(1554347625037,4382)
(1554347630099,4635)
(1554347635059,4455)
(1554347640015,4557)
(1554347644978,4400)
(1554347650041,4587)
(1554347654996,4811)
(1554347660060,4151)
(1554347665001,4548)
